0.001: [304.552106328661, 306.3116018137234]
2.5: [316.6731221691013, 356.2809480941305]
5.0: [195.27866702836036, 200.76315313071638]
7.5: [153.5440718838036, 157.97797646849642]
10.0: [145.58521195401624, 126.88715196735717]
12.5: [115.78071061273408, 101.84966695394155]
15.0: [97.83157144287327, 78.24956548971153]
17.5: [100.95837476115202, 77.71458221869932]
20.0: [106.7970668063382, 77.55445678290721]
22.5: [140.22251857879763, 103.36890547538377]
25.0: [106.98201426541317, 79.86323224080877]
27.5: [109.68031051096472, 77.96217401383956]
30.0: [110.84320070859849, 78.69335121854579]
32.5: [99.15410767436691, 76.00495784312233]
35.0: [100.71074934500115, 76.22751117417329]
37.5: [99.97092014299704, 72.01766977538352]
40.0: [102.50153689451253, 74.66639530045586]
42.5: [102.00290687862088, 75.65549691950503]
45.0: [101.88494552233851, 73.64367802896095]
47.5: [102.14899788788262, 74.50597495822205]
50.0: [105.6197867721782, 77.83079915250346]
52.5: [106.76070651447606, 78.41038941503388]
55.0: [104.20038845900274, 76.26007773623121]
57.5: [100.05035582844619, 74.8351826235662]
60.0: [103.91772192420183, 76.95784274479433]
62.5: [101.17553090567174, 74.73411823357986]
65.0: [105.13753962581546, 76.78397722056548]
67.5: [109.49556070912769, 78.97225745793116]
70.0: [108.70926856927201, 78.56795281422046]
72.5: [105.28803267031378, 77.14175663946332]
75.0: [107.57896602423733, 77.3064391950619]
77.5: [104.68563592224541, 75.39412352280806]
80.0: [106.9422994290914, 74.9124514945106]
82.5: [107.87661472923719, 74.1447238311332]
85.0: [107.4497107511944, 73.45931075624645]
87.5: [110.07215590962693, 76.37924249852256]
90.0: [113.60237546756952, 76.6204358034853]
92.5: [104.1925322065299, 71.1651249347409]
95.0: [106.3284102358798, 72.78946457925224]
97.5: [116.58528282568051, 76.93259947489628]
100.0: [107.86044356027543, 72.31500463062014]
102.5: [106.45655557676542, 70.67626114793887]
105.0: [112.27200931277707, 74.29226469809868]
107.5: [112.07403518596232, 73.41062712302227]
110.0: [110.0261208128594, 71.59253085374655]
112.5: [106.40880635626809, 72.12783395159443]
115.0: [105.30075147887919, 70.23231222546553]
117.5: [109.23353253114766, 70.25400894875571]
120.0: [106.66740914468562, 69.6893579389943]
122.5: [105.1577487035641, 68.63879844873571]
125.0: [104.24034654038007, 67.87811788164623]
127.5: [104.4720855163904, 67.88594907988352]
130.0: [103.869262447741, 66.11947377735873]
132.5: [98.34871481700276, 62.94193836316413]
135.0: [106.6933476212455, 67.97743000282958]
137.5: [101.2771971949362, 64.5668486079935]
140.0: [100.74865273112192, 64.36420305887168]
142.5: [104.00095599161682, 64.69499955913051]
145.0: [103.38110057119053, 63.16227122237672]
147.5: [100.38927242771922, 63.02599964671856]
150.0: [97.5025805906788, 62.12452696849948]
152.5: [96.71360030927491, 60.497775911315216]
155.0: [97.38263247183613, 61.608212707072994]
157.5: [92.66046508650226, 57.78258701108524]
160.0: [96.24281472698055, 60.45295915250642]
162.5: [103.35587861401717, 63.89016448209986]
165.0: [99.3719192765754, 61.61633846004031]
167.5: [94.40643804940203, 60.269082265949294]
170.0: [91.100656987918, 56.953730382071285]
172.5: [94.64461245671106, 58.82522141416956]
175.0: [94.6413216716827, 57.178390235349525]
177.5: [95.78524621545944, 59.89305446785852]
180.0: [96.46865774909884, 58.80034932042713]
182.5: [100.84741851388424, 62.24793370109569]
185.0: [97.19120524652016, 59.019618097854845]
187.5: [93.36479136631425, 57.716429693343684]
190.0: [94.43476451009286, 56.25197448427673]
192.5: [92.78144204355903, 55.01405345532362]
195.0: [97.54915841405136, 57.26655540260566]
197.5: [94.70702244216949, 57.13067524342762]
200.0: [90.07822243069063, 54.40728519549225]
202.5: [94.70767452901055, 56.794486008340414]
205.0: [93.42477072685864, 56.17917308257506]
207.5: [97.10002972542594, 57.38420460757783]
210.0: [95.1815764687044, 56.4258161825137]
212.5: [90.37218331359878, 53.4690195195235]
215.0: [95.28150084071973, 56.60221472693013]
217.5: [93.79415938915366, 56.51877618891467]
220.0: [89.68790215491344, 54.3367411529764]
222.5: [90.93955192160752, 54.2237982041396]
225.0: [91.40746886253692, 54.15669920321659]
227.5: [93.9594482069453, 54.35041568749159]
230.0: [92.44066557893927, 53.53815899092473]
232.5: [90.57509073498102, 52.92884537681516]
235.0: [91.04541436635805, 53.406043546029366]
237.5: [92.08583740848542, 52.55433658365632]
240.0: [90.14837257549357, 52.878819554454935]
242.5: [89.26708038028517, 52.10318640763171]
245.0: [90.34719194291813, 50.53958438002451]
247.5: [89.03573954735936, 51.571787685883976]
250.0: [89.92903063559731, 51.65350307934477]
252.5: [93.84807411015038, 53.4132871225961]
255.0: [87.87282249247863, 50.469896219357]
257.5: [91.12943443442362, 51.04559247517551]
260.0: [93.06030983932584, 52.354334485262655]
262.5: [94.8566710626759, 54.05526411545378]
265.0: [93.50928804165989, 53.577932654645565]
267.5: [89.59927768283478, 51.246465761526906]
270.0: [94.51319575979653, 54.18846380095937]
272.5: [87.8553779808953, 50.37139459952766]
275.0: [91.96411555839074, 51.77931786178499]
277.5: [88.59527351636228, 50.01936664608007]
280.0: [87.95378893540294, 51.86912344814982]
282.5: [93.11571063080589, 52.61439188103111]
285.0: [91.40630925780602, 51.301176930173824]
287.5: [88.20023765551235, 49.38845637000304]
290.0: [88.69502692697233, 50.60058950880381]
292.5: [89.5841997852234, 50.395294759326816]
295.0: [91.89302856827203, 52.39938690915261]
297.5: [87.58499243376815, 48.78866726179217]
300.0: [90.2174058582587, 50.63274327585509]
